NOME;DN;ORIGEM;OM CONDUZ IAFN;BANDEIRA;AB;COMPRIMENTO (M);DATA/HORA;HORA REAL;DATA;DATA-HORA;TIPO;NAVEGAÇÃO;ATIVIDADE;PROPULSÃO;DESCRIÇÃO DA NATUREZA;LONG DEC;LAT DEC;LOCAL;VF;FER.;DES.;N:DE INSCRIÇÃO;MATERIAL DO CASCO;ANTEPARA ALAGAMENTO
BEIJA FLOR;3;CPNATL;CPNATL;BRASIL;0;4,30;27/JUL/2019  15:30;12:30;27/JUL/2019;271530P/JUL/2019;JANGADA;INTERIOR;PESCA;VELA;ACIDENTE DE MERGULHO;-5,24527778;-35,34083333;3 MILHAS NÁUTICAS DA PRAIA DE RIO DO FOGO, NAS COORDENADAS DE LATITUDE 05:14,43' S E LONGITUDE 035:20,27' W;0;0;1;181M2007003686;MADEIRA;NÃO POSSUI
GEOVÁ DIREI;3;CPNATL;CPNATL;BRASIL;5;8,14;29/JUL/2019  10:00;7:00;29/JUL/2019;291000P/JUL/2019;BARCO;CABOTAGEM;PESCA;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-6,61666667;-34,81666667;"NAS PROXIMIDADES DE BAIA FORMOSA/RN, NAS COORDENADAS DE LATITUDE 06° 37.005' S E LONGITUDE 034° 48.608' W; e";1;0;0;1810043328;MADEIRA;NÃO POSSUI
SEM NOME;5;CPGRAN;CPGRAN;BRASIL;NÃO INSCRITA;6;29/JUL/2019  18:00;15:00;29/JUL/2019;291800P/JUL/2019;BOTE;INTERIOR;PESCA;A SER APURADO;QUEDA DE PESSOAS NA ÁGUA;-8,46472222;-52,51194444;"LAGOA DAS FLORES, RIO GRANDE-RS na LAT 32:27'53""S e LONG 052:30'43""W""";0;0;1;NÃO INSCRITA;MADEIRA;NÃO POSSUI
PIPES 143;4;CPLUIZ;AGIMPE;BRASIL;7,4;12,6;18/JUL/2019  18:50;15:50;18/JUL/2019;181850P/JUL/2019;REBOCADOR;INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;EXPOR A RISCO;;;LAT E LONG A SER APURADA, PORTO DA BALSA, NO MUNICÍPIO DE SÃO MIGUEL DO TOCANTINS - TO;0;1;0;1270013751;AÇO;
MARIA EDUARDA;4;CPSTNA;CPSTNA;BRASIL;A SER APURADO;A SER APURADO;01/AGO/2019  14:30;11:30;01/AGO/2019;011430P/AGO/2019;A SER APURADO;INTERIOR;A SER APURADO;MOTOR;EXPLOSÃO;-0,05000000;-51,14027778;Igarapé da Fortaleza, Município de Santana, Estado do Amapá, distante cerca de 5MN da sede desta Capitania, posição aproximada de LAT. 00°.03’.00” S e LONG. 051°. 08’.25” W;0;2;0;A SER APURADO;MADEIRA;A SER APURADO
DIAMANTE;9;CPNAUS;CPNAUS;BRASIL;1,611;60;11/JUL/2019  00:00;20:00;11/JUL/2019;110000Q/JUL/2019;FERRY BOAT;INTERIOR;PASSAGEIRO E CARGA;MOTOR;TRANSPORTE DE TÓXICOS/CONTRABANDO/MERCADORIA ILEGAL;-3,10666667;-67,93500000;"NO SOLIMÕES, PROXIMIDADES DE SANTO ANTÔNIO DO IÇA-AM, LAT 03° 06' 24"" S LONG 067:56' 06"" W";0;0;0;11443723;AÇO;
LOCAR PIPE;1;CPRIOJ;CPRIOJ;BRASIL;5,798;87,50;05/AGO/2019  21:15;18:15;05/AGO/2019;052115P/AGO/2019;BALSA;APOIO MARITIMO;PASSAGEIRO E CARGA;SEM PROPULSÃO;INCÊNDIO;-22,88138889;-43,21111111;LAT 22:52' 53” S e LONG 043:12' 40” W, no Terminal Triunfo, Rio de Janeiro-RJ;0;0;0;3813893642;AÇO;
AMANTE DA NATUREZA I;1;DLANGR;DLANGR;BRASIL;0;7,10;01/AGO/2019  15:25;12:25;01/AGO/2019;011525P/AGO/2019;BOTE;INTERIOR;PASSAGEIRO;MOTOR;IMPROPRIEDADE DA EMBARCAÇÃO PARA O FIM EM QUE É UTILIZADA;-23,36722222;-44,25166667;"PROXIMIDADES DA ILHA DE JORGE GREGO, ANGRA DOS REIS - RJ, MARCAÇÃOAPROXIMADA LAT 23:22,2'47,2"" S LONG 44:15,6'54,3"" W";0;0;0;382M2018001460;FIBRA;
DOCE ANGRA PARK;1;DLANGR;DLANGR;BRASIL;81;31,57;02/AGO/2019  19:50;16:50;02/AGO/2019;021950P/AGO/2019;ESCUNA;INTERIOR;PASSAGEIRO;MOTOR;AVARIA DE MÁQUINAS;-23,03055556;-44,28527778;"NAS PROXIMIDADES DA ILHA DE CATAGUÁS, ANGRA DOS REIS - RJ, MARCAÇÃO APROXIMADA LAT 23:01'50,6'S LONG 44:17'07""W";0;0;0;3826683641;MADEIRA;NÃO POSSUI
BRIGHT PHOENIX;5;DLSFSL;DLSFSL;PANAMÁ;31,230;189,99;06/AGO/2019  08:30;8:30;06/AGO/2019;060830Z/AGO/2019;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;SEM CÓDIGO DE NATUREZA DO ACIDENTE;-0,43722222;-48,63944444;berço 102 do Porto de São Francisco do Sul, SCLAT 26:14,103' S e LONG 048:38,221' W;0;0;0;SOLAS - 42486 - 11 - B;AÇO;
VALOR - SIMSON;5;DCPJAI;DCPJAI;MALTA;95,390;300;26/JUL/2019  07:40;4:40;26/JUL/2019;260740P/JUL/2019;NM PORTA CONTENTOR;LONGO-CURSO;CARGA;MOTOR;EXPOR A RISCO;-2,91222222;-48,64166667;"LAT 26°54'44.32""S/LONG 048°38'30.69""W - CANAL DE ACESSO AO PORTO DE ITAJAÍ, NAS PROXIMIDADES DO SACO DA FAZENDA, PRÓXIMO A BOIA DE NÚMERO 09 – ITAJAÍ – SANTA CATARINA;";0;0;0;SOLAS-IMO 9628154;AÇO;
CAREJO IV;5;CPGRAN;CPGRAN;BRASIL;A SER APURADO;11,52;11/JUL/2019  22:30;19:30;11/JUL/2019;112230P/JUL/2019;BARCO;CABOTAGEM;PESCA;MOTOR;ALTERAÇÃO OU DESVIO DA ROTA;-9,82972222;-53,37055556;"ÁGUAS JURISDICIONAIS URUGUAIAS A 5MN DA COSTA URUGUAIA Latitude 33:49'47""S- Longitude 053:22'14""W""";0;0;0;A SER APURADO;MADEIRA;NÃO POSSUI
SR JOAQUIM;8;CPFOZU;CPFOZU;BRASIL;0;4,9;A SER APURADO;A SER APURADO;A SER APURADO;A SER APURADO;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;AVARIA DE MÁQUINAS;-0,74888889;-54,39305556;LAGO DE ITAIPU -SANTA HELENA – PR/ 24:44'56.7”S 54:23'35.5”W;0;0;0;962M2001000647;ALUMÍNIO;
ANTHURIUM -  DONA RAIMUNDA III;4;CPBLEM;CPBLEM;BRASIL;52;16;03/AGO/2019  22:30;19:30;03/AGO/2019;032230P/AGO/2019;EMPURRADOR COM BALSA (COMBOIO);INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-1,75055556;-48,33555556;no rio São Francisco, na posição estimada LAT 01°45,2'S LONG 048°20.8'W, em águas do Município de Barcarena-PA, Carta Náutica n:304/DHN;1;0;0;10206809;AÇO;
PIPES 43;4;CPLUIZ;AGIMPE;BRASIL;106;48,7;19JUL/2019  15:30;12:30;19JUL/2019;191530PJUL/2019;BALSA;INTERIOR;PASSAGEIRO E CARGA;SEM PROPULSÃO;QUEDA DE VEÍCULO NA ÁGUA;;;LAT E LONG A SER APURADA - PORTO DA BALSA, NO MUNICÍPIO DE TOCANTINÓPOLIS-TO;0;0;0;121009933-1;AÇO;
DEUS SEJA LOUVADO;4;CPPARN;CPPARN;BRASIL;NÃO INSCRITA;5,45;10/JUL/2019  12:00;9:00;10/JUL/2019;101200P/JUL/2019;BALSA;INTERIOR;PASSAGEIRO E CARGA;MOTOR;QUEDA DE VEÍCULO NA ÁGUA;-3,15000000;-41,93305556;"unicípio de Buriti dos Lopes-PI"", LAT 03:,09',00""S e LONG 041:,55'59""W";0;0;0;NÃO INSCRITA;AÇO;
JOSÉ DE RIBAMAR;4;CPPARN;CPPARN;BRASIL;93;20,2;13/JUL/2019  09:20;6:20;13/JUL/2019;130920P/JUL/2019;LANCHA;INTERIOR;PASSAGEIRO;MOTOR;QUEDA DE PESSOA A BORDO;-2,83027778;-41,83250000;"PORTO DOS TATUS, ILHA GRANDE-P Ilha Grande-PI"", LAT 02:,49',49"" e LONG 041:,49'57""W";0;1;0;1410113558;MADEIRA;NÃO POSSUI
ARTEMIS I;1;CPVITO;CPVITO;ILHAS MARSHAL;44,071;229;03/AGO/2019  18:30;15:30;03/AGO/2019;031830P/AGO/2019;NM DE CARGA GERAL;LONGO-CURSO;CARGA;MOTOR;SEM CÓDIGO DE NATUREZA DO ACIDENTE;-20,30083333;-40,20166667;Fundeado na Barra de Vitória, posição geográfica LAT 20:18.3’S e LONG 040:12.6’W;0;0;0;SOLAS-IMO 9830991;AÇO;
MAMIE DENISE - PRINCESA JAYNE II;9;CPNAUS;CPNAUS;BRASIL;31,60;16,10;27/JUL/2019  14:40;10:40;27/JUL/2019;271440Q/JUL/2019;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;ABALROAMENTO;-3,03166667;-60,10166667;"RIO REGRO,NO IGARAPÉ TARUMÃ-AÇU, PROXIMIDADES DA MARINA DO DAVI,  MANAUS-AM, LAT 03° 01' 54""S LONG 060:06' 06""W;";0;0;0;10194690;MADEIRA;NÃO POSSUI
HANNES OLDENDORFF;4;CPLUIZ;CPLUIZ;PORTUGUAL;107,700;299,9;07/AGO/2019  10:00;7:00;07/AGO/2019;071000P/AGO/2019;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;ACIDENTES COM PESSOAS EM GERAL ABORDO;-2,55166667;-44,37833333;"LAT 2°33'06.0"" S e LONG 44°22'42.6"" W - PORTO DA PONTA DA MADEIRA, SÃO LUÍS - MA";0;1;0;SOLAS-IMO 17256820;AÇO;
PEGASSUS III;8;CPSANT;CPSANT;BRASIL;11,40;12,6;29/JUL/2019  10:00;7:00;29/JUL/2019;291000P/JUL/2019;BOTE;INTERIOR;PASSAGEIRO;MOTOR;NAUFRÁGIO;-23,85611111;-46,14472222;"LAT 23:51'22.5''S LONG 46:08'41.5''w;, NAS PROXIMIDADES DO ATRACADOURO DA DERSA NO MUNICIPIO DE   RTIOGA-SP;";0;0;0;4430102010;MADEIRA;NÃO POSSUI
POSEIDON III;8;CPSANT;CPSANT;BRASIL;26;13,84;02/AGO/2019  10:20;7:20;02/AGO/2019;021020P/AGO/2019;LANCHA;INTERIOR;PASSAGEIRO E CARGA;MOTOR;DERIVA DA EMBARCAÇÃO;-0,04500000;-46,28694444;LAT 24:02'42.70''S LONG 46:17'13.94''W, NAS PROXIMIDADES DA PONTA DO  GUAÍUBA, MUNICIPIO DE GUARUJÁ-SP;0;0;0;3830087331;MADEIRA;NÃO POSSUI
TS MARRENTO;1;CPRIOJ;CPRIOJ;BRASIL;242;29;07/AGO/2019  10:45;7:45;07/AGO/2019;071045P/AGO/2019;REBOCADOR;APOIO MARITIMO;REBOCADOR/EMPURRADOR;MOTOR;MORTE DE PESSOA;-1,06555556;-43,03333333;"Bacia de Santos, na posição LAT 25:03’56”S e LONG 043:02'W;";1;0;0;3813872998;AÇO;
MARAMAR II - XANATAM IV - AMAR 01;1;DLANGR;DLANGR;BRASIL;35,50;14,54;05/AGO/2019  22:38;19:38;05/AGO/2019;052238P/AGO/2019;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;INCÊNDIO;-23,00250000;-44,30083333;MARINA PIRATA'S, ANGRA DOS REIS - RJ, NA MARCAÇÃO APROXIMADA LAT 23:00’09.22” S LONG 44:18’03.83” O;0;0;0;3810458384;FIBRA;
BAVAND;5;DLSFSL;DSLFSL;IRAN;32,474;190;09/AGO/2019  11:21;11:21;09/AGO/2019;091121Z/AGO/2019;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;ALTERAÇÃO OU DESVIO DA ROTA;-2,22583333;-48,44583333;a cerca de 2MN do Farol Ilha da Paz, litoral do Município de São Francisco do Sul, SCLAT 26:10,200' S e LONG 048:26,450' W;0;0;0;SOLAS-IMO9387798;AÇO;
SEM NOME;4;CPBLEM;CPBLEM;BRASIL;NÃO INSCRITA;6;08/AGO/2019  16:30;13:30;08/AGO/2019;081630P/AGO/2019;BARCO;INTERIOR;SEM ATIVIDADE DEFINIDA;MOTOR;ACIDENTES COM PESSOAS EM GERAL ABORDO;-1,71777778;-49,54083333;avegando no rio Guajará, em águas do Município de São Sebastião da Boa Vista-PA,LAT 01°43'04''S / LONG 049°32'27''W,Carta Náutica n:305/DHN. Rio Guajará não cartografado;0;1;0;NÃO INSCRITA;MADEIRA;NÃO POSSUI
MESTRE GATO;4;CPLUIZ;CPLUIZ;BRASIL;30;8;04/AGO/2019  20:45;17:45;04/AGO/2019;042045P/AGO/2019;OUTRAS EMBARCAÇÕES;INTERIOR;PASSAGEIRO;MOTOR;DERIVA DA EMBARCAÇÃO;-2,58305556;-44,07861111;"LAT 02:34' 59""S E LONG 044:04' 43""W;";0;0;0;1210131889;MADEIRA;A SER APURADO
SEM NOME;9;CFINGA;CFINGA;BRASIL;NÃO INSCRITA;A SER APURADO;01/AGO/2019  13:32;8:32;01/AGO/2019;011332R/AGO/2019;BALSA;INTERIOR;SEM ATIVIDADE DEFINIDA;SEM PROPULSÃO;ATO DE PIRATARIA / ASSALTO / FURTO / ROUBO;-2,83777778;-67,40555556;"LAT: 02:36’.850S e LONG: 067:24’.200W - Rio Solimões, Tonantins/AM;";0;0;0;NÃO INSCRITA;A SER APURADO;A SER APURADO
GALO DA SERRA VII;9;CFINGA;CFINGA;BRASIL;42;13,8;10/AGO/2019  17:45;12:45;10/AGO/2019;"101745R/AGO/2019;";EMPURRADOR;INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;MORTE DE PESSOA;-4,45916667;-69,95138889;LAT: 04:14’.800S e LONG: 069:56’.650W - Orla de Tabatinga ,;1;0;0;11438151;AÇO;
GENIUS R;2;CPSALV;CPSALV;BRASIL;8;9,56;11/AGO/2019  14:00;11:00;11/AGO/2019;111400P/AGO/2019;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;DERIVA DA EMBARCAÇÃO;-12,99333333;-38,60916667;"Nas coordenadas de Latitude 12°59'36.3"" S e Longitude 038°36'33.4"" W no interior da Baía de Todos os Santos, no município de Vera Cruz-BA";0;0;0;2818914914;FIBRA;15/out/2019
MARIA CAROLINA II;5;CPFPOL;CPFPOL;BRASIL;0;9,6;07/AGO/2019  17:00;14:00;07/AGO/2019;071700P/AGO/2019;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;-4,40500000;-48,97083333;NAS PROXIMIDADES DA PONTA DO PAPAGAIO, PALHOÇA,SC/LAT 27:84.18'S ONG 048:58.15'W/A 350m DA PRAIA;0;0;0;4430477329;FIBRA;
LÍVIA MARIA;4;CFAREM;CFAREM;BRASIL;85;20;30/JUL/2019  12:00;9:00;30/JUL/2019;301200P/JUL/2019;BARCO;INTERIOR;A SER APURADO;MOTOR;INCÊNDIO;-2,41694444;-54,83333333;ocorrido no Rio Tapajós, praia de Pajuçara, cerca de 7,5 MN de Santarém-PA, Lat 02:25’ 01”S e Long054°50’ 59”W;0;0;0;A SER APURADO;MADEIRA;NÃO POSSUI
SEM NOME;4;CFAREM;CFAREM;BRASIL;NÃO INSCRITA;A SER APURADO;31/JUL/2019  04:30;1:30;31/JUL/2019;310430P/JUL/2019;CANOA;INTERIOR;PASSAGEIRO;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-2,47916667;-54,33277778;"Ocorrido no lago do Ituqui, na proximidade da Comunidade Santanado Ituqui, cerca de 10 milhas náuticas de Santarém, PA LAT: 02°28'45.2""S / LONG: 054°19'58.9""W";1;0;0;NÃO INSCRITA;MADEIRA;NÃO POSSUI
SEM NOME;4;CFAREM;CFAREM;BRASIL;NÃO INSCRITA;A SER APURADO;10/AGO/2019  22:00;19:00;10/AGO/2019;102200P/AGO/2019;LANCHA;INTERIOR;PASSAGEIRO;MOTOR;NAUFRÁGIO;-2,09972222;-55,27944444;"Ocorrido na margem esquerda do Rio Amazonas, nas proximidades dacomunidade Januária, cerca de 15 MN de Óbidos-PA PA LAT: 02°05'59.9""S / LONG: 055°16'46.2""W";1;0;0;NÃO INSCRITA;ALUMÍNIO;
SEM NOME;4;CFAREM;CFAREM;BRASIL;A SER APURADO;A SER APURADO;27/JUN/2019  11:00;8:00;27/JUN/2019;271100P/JUN/2019;LANCHA;INTERIOR;PASSAGEIRO;MOTOR;ABALROAMENTO;-2,41805556;-54,73083333;ocorrido no Rio Tapajós, cerca de 100 metros da Orla de Santarém-PA,Lat 02:25’ 05”S e Long054°43’ 51”W;0;2;0;A SER APURADO;ALUMÍNIO;
JANGATUR;3;CPCEIO;CPCEIO;BRASIL;0;6,52;12/AGO/2019  09:00;6:00;12/AGO/2019;120900P/AGO/2019;JANGADA;INTERIOR;PASSAGEIRO;MOTOR;EMBORCAMENTO;;;Praia da Laje, Porto de Pedras-AL/Piscinas Naturais de Porto de Pedras-AL/Praia da Laje, Porto de Pedras-AL;0;6;0;241M2017005370;MADEIRA;NÃO POSSUI
PEROLA DO CARIBE;5;CPFPOL;CPFPOL;BRASIL;26,50;16,80;11/AGO/2019  10:00;7:00;11/AGO/2019;111000P/AGO/2019;ESCUNA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;ENCALHE;-3,38583333;-48,55166667;"NAS PROXIMIDADES DA PRAIA FAZENDA DA ARMAÇÃO, GOVERNADOR CELSO RAMOS,SC/LAT 27:22.069S LONG 048:33.067W/A 10m DA PRAIA;";0;0;0;2810268681;MADEIRA;NÃO POSSUI
BLACK RIVER;5;DCPJAI;DCPJAI;BRASIL;4;7,5;03/AGO/2019  10:35;7:35;03/AGO/2019;031035P/AGO/2019;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;;;LAT/LONG A SER APURADO – MUNICÍPIO DE PENHA– SANTA CATARINA;0;0;0;4211465481;FIBRA;
SOLINA;4;CPSTNA;CPSTNA;BAHAMAS;20,603;190;11/AGO/2019  08:00;5:00;11/AGO/2019;110800P/AGO/2019;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;ENCALHE;-1,46444444;-52,19138889;Rio Amazonas, nas proximidades da Ilha do Comandaí, zona rural do município de Almerim, Estado do Pará, na posição informada de LAT. 01:27’52.0”S e LONG. 052:11’29”W, cerca de 110MN da sede desta Capitania, Carta Náutica DHN-4102 A;0;0;0;SOLAS-IMO 9496252;AÇO;
PETROBRAS 31;1;CPMCAE;CPMCAE;PANAMÁ;138,015;321,3;12/AGO/2019  16:00;13:00;12/AGO/2019;121600P/AGO/2019;PLATAFORMA;CABOTAGEM;OUTRA ATIVIDADE OU SERVIÇO;SEM PROPULSÃO;ACIDENTES COM PESSOAS EM GERAL ABORDO;-22,12972222;-39,96611111;"Campo de Albacora, Bacia de Campos,Campos dos Goytacazes, RJ, nas coordenadas geográficasde Latitude22:07'46,640""S e ongitude 039:57'58,510""W;";0;1;0;387E000615;AÇO;
VELHO NECO;1;CPRIOJ;CPRIOJ;BRASIL;43;17,75;13/AGO/2019  15:39;12:39;13/AGO/2019;131539P/AGO/2019;LANCHA;INTERIOR;PASSAGEIRO;MOTOR;INCÊNDIO;-22,80972222;-43,16222222;"Lat: 22:48' 35,7""S e Long: 043:09' 44,1""W, nas proximidades daIlha D'água, Baía de Guanabara, Rio de Janeiro-RJ";0;0;0;3813896927;MADEIRA;NÃO POSSUI
COSTA NEVES I CN;5;CPGRAN;CPGRAN;BRASIL;96;24,27;11/AGO/2019  20:14;20:14;11/AGO/2019;112014Z/AGO/2019;BARCO;CABOTAGEM;PESCA;MOTOR;INCÊNDIO;-7,11527778;-50,45000000;"A 15 MN DO FAROL MOSTARDAS NA POSIÇÃO LAT 31:06'55""S e LONG 050:27'00""W";0;0;0;4010471778;MADEIRA;NÃO POSSUI
PANTERA-I;8;DLGUAI;DLGUAI;BRASIL;185;36;13/AGO/19  17:30;14:30;13/AGO/19;131730P/AGO/19;DRAGA;INTERIOR;CARGA;MOTOR;EMBORCAMENTO;-23,93500000;-54,02472222;"23°56'06.7""S/54°01'29.3""W - RIO PARANÁ - APROXIMADAMENTE 120 METROS DO PORTO YARA, NO MUNICÍPIO DE ALTÔNIA-PR";0;0;0;9620222776;AÇO;
CUMELEN;3;CPCEIO;CPCEIO;ARGENTINA;0;8,30;13/AGO/2019  23:00;20:00;13/AGO/2019;132300P/AGO/2019;VELEIRO;CABOTAGEM;ESPORTE E RECREIO;MISTA;ENCALHE;-9,07000000;-35,22666667;Lat 09:04'12.0”S Long 35:13'36.0”W a aproximadamente 01 MN da praia de São Bento, Japaratinga-AL;0;0;0;REY023050;FIBRA;
JULIA E HELENA;8;CPFTPR;CPFTPR;BRASIL;0;5,95;13/AGO/2019  22:00;19:00;13/AGO/2019;132200P/AGO/2019;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-21,33944444;-49,57944444;Rio do Cubatão, afluente do rio Tietê, município de Sales – SP, na posição aproximada de LAT. 21:20'22”S e LONG. 049:34'46”W;1;0;0;405M2019000740;ALUMÍNIO;
ATOS 2:38;9;CPNAUS;AGTINS;BRASIL;A SER APURADO;13,45;13/JUN/2019  14:00;10:00;13/JUN/2019;131400Q/JUN/2019;BARCO;INTERIOR;PASSAGEIRO E CARGA;MOTOR;INCÊNDIO;;;"COMUNIDADE BOA VISTA DO AÇÚ, NO MUNICÍPIO DE BARREIRINHA-AM / A SERAPURADO;";0;0;0;120772311;MADEIRA;NÃO POSSUI
VALDIR MASUTTI  - ERMASA A - AMAGGI 44 - ISAAC PERES;9;CPNAUS;AGTAC;BRASIL;259;25;25/JUL/2019  22:30;18:30;25/JUL/2019;252230Q/JUL/2019;EMPURRADOR COM BALSA (COMBOIO);INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;ABALROAMENTO;-3,17388889;-58,46555556;"Latitude Latitude 03:08.136S e Longitude 58:27.566S - margem esquerdado rio Amazonas, abaixo do quadro de boias Maquira, a montante da cidade deItacoatiara-AM;";0;0;0;11438991;AÇO;
PARAÍSO DO ATLÂNTICO;1;DLCABO;DLCABO;BRASIL;23,10;15,7;14/AGO/2019  07:00;4:00;14/AGO/2019;140700P/AGO/2019;ESCUNA;INTERIOR;PASSAGEIRO;MOTOR;NAUFRÁGIO;-22,97305556;-42,01888889;LATITUDE 22:58'23.9S E LONGITUDE 042:01'8.5W, PRAIA DOS ANJOS – ARRAIAL DO CABO - RJ;0;0;0;3822937771;MADEIRA;
SEM NOME;2;CPSALV;CPSALV;BRASIL;NÃO INSCRITA;A SER APURADO;12/AGO/2019  07:00;4:00;12/AGO/2019;120700P/AGO/2019;CANOA;INTERIOR;SEM ATIVIDADE DEFINIDA;MOTOR;MORTE DE PESSOA;-13,11638889;-38,84111111;"Nas coordenadas de Lat. 13:06'59.4"" S e Long. 038:50'28.5"" W, no Rio Jaguaripe, no município de Jaguaripe-BA";1;0;0;NÃO INSCRITA;A SER APURADO;A SER APURADO
SHALON;6;CFCUIA;AGELIX;BRASIL;96,00;34;09/AGO/2019  01:10;22:10;09/AGO/2019;090110P/AGO/2019;BALSA;INTERIOR;CARGA;SEM PROPULSÃO;QUEDA DE VEÍCULO NA ÁGUA;-14,08722222;-51,69888889;"Rio das Mortes / Travessia da Rodovia MT-326 Km 48, Cocalinho-MT / Lat 14°05'14.8""S, Long 51°41'56.4""W";0;0;0;4830314664;AÇO;
PARAÍBA;6;CFCUIA;AGELIX;BRASIL;0;6;10/AGO/2019  16:00;13:00;10/AGO/2019;101600P/AGO/2019;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;EMBORCAMENTO;-14,67000000;-52,35361111;"Rio das Mortes / Praia do Sol / Lat 14°40'12.0""S, Long 52°21'13.7""W;";0;0;0;5250001769;ALUMÍNIO;
DANUBIO AZUL IV/MONTE VERDE;6;CFCUIA;AGCAGE;BRASIL;30;10;15/AGO/2019  19:30;19:30;15/AGO/2019;151930Z/AGO/2019;DRAGA;INTERIOR;OUTRA ATIVIDADE OU SERVIÇO;MOTOR;EMBORCAMENTO;-16,09722222;-57,71222222;No Rio Paraguai, localidade conhecida como Cabo Nilson – Lat. 16:05`50.9”S e Long. 057:42`44.1”W, Cáceres-MT;0;0;0;9620044410;AÇO;
COMTE SHALON;4;CPBLEM;CPBLEM;BRASIL;NÃO INSCRITA;10,4;09/AGO/2019  17:00;14:00;09/AGO/2019;091700P/AGO/2019;BARCO;INTERIOR;SEM ATIVIDADE DEFINIDA;MOTOR;ACIDENTES COM PESSOAS EM GERAL ABORDO;-2,06833333;-50,43194444;Navegando no rio Jacundá com a foz do rio Moratuba, em águas do Município de Bagre-PA, na posição LAT 02°04'6''S / LONG 050°25'55''W, Carta Náutica n:41/DHN;0;1;0;NÃO INSCRITA;MADEIRA;NÃO POSSUI
AGATHA I;8;CPSANT;CPSANT;BRASIL;3,10;8,25;13/AGO/2019  13:35;10:35;13/AGO/2019;"131335P/AGO/2019;";BOTE;INTERIOR;PASSAGEIRO;MOTOR;NAUFRÁGIO;-23,86055556;-46,14250000;"LAT 23:51'38.2""S LONG 046:08'33.6""W,PRÓXIMO A TRAVESSIA DA DERSA GUARUJÁ-BERTIOGA";0;0;0;4010816589;MADEIRA;NÃO POSSUI
DRAGA LEEUW;5;CPGRAN;CPGRAN;LUXEMBURGO;3,843;99,5;18/AGO/2019  03:00;0:00;18/AGO/2019;180300P/AGO/2019;DRAGA;CABOTAGEM;OUTRA ATIVIDADE OU SERVIÇO;MOTOR;ALIJAMENTO;-8,20722222;-52,03972222;A 15 MN FORA DA BARRA, NA LATITUDE 32° 12.261’ S e LONGITUDE 052° 2.232’ W;0;0;0;IMO-9591399;AÇO;
ALLEGRA;8;CPAGUA;CPAGUA;MALTA;22,400;180,4;12/AGO/2019  10:00;10:00;12/AGO/2019;121000Z/AGO/2019;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;PRESENÇADE CLANDESTINO A BORDO;;;A SER APURADO;0;0;0;SOLAS-IMO 215060000;AÇO;
LADY LEILA;8;CPSANT;CPSANT;BRASIL;12;12,91;03/AGO/2019  00:00;21:00;03/AGO/2019;030000P/AGO/2019;ESCUNA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;DERIVA DA EMBARCAÇÃO;;;PROXIMIDADES DA ILHA GUARAÚ EM PERUÍBE-SP;0;0;0;4039127820;FIBRA;
DALIAN STAR D;4;CPLUIZ;CPLUIZ;ILHAS MARSHAL;31,199;189,99;14/AGO/2019  07:00;4:00;14/AGO/2019;140700P/AGO/2019;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;PRESENÇADE CLANDESTINO A BORDO;0,76666667;-12,50000000;LAT 00:46N E LONG 012° 30W;0;0;0;SOLAS-IMO 4772;AÇO;
HAWK I;4;CPLUIZ;CPLUIZ;ILHAS MARSHAL;27,986;189,8;09/AGO/2019  07:30;7:30;09/AGO/2019;090730Z/AGO/2019;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;PRESENÇADE CLANDESTINO A BORDO;2,61833333;-9,71666667;"LAT 02:37'6N E LONG 009:43.3""W";0;0;0;SOLAS-IMO 2237;AÇO;
